names,image_paths,notation_paths,classes
NoLabel-12_20190905_035310.bmp,NoLabel\NoLabel-12_20190905_035310.bmp,,[1 0]
NoLabel-12_20190905_035416.bmp,NoLabel\NoLabel-12_20190905_035416.bmp,,[1 0]
NoLabel-12_20190905_035708.bmp,NoLabel\NoLabel-12_20190905_035708.bmp,,[1 0]
NoLabel-12_20190905_035847.bmp,NoLabel\NoLabel-12_20190905_035847.bmp,,[1 0]
NoLabel-12_20190905_035854.bmp,NoLabel\NoLabel-12_20190905_035854.bmp,,[1 0]
NoLabel-12_20190905_035923.bmp,NoLabel\NoLabel-12_20190905_035923.bmp,,[1 0]
NoLabel-12_20190905_040413.bmp,NoLabel\NoLabel-12_20190905_040413.bmp,,[1 0]
NoLabel-12_20190905_040428.bmp,NoLabel\NoLabel-12_20190905_040428.bmp,,[1 0]
NoLabel-12_20190905_040458.bmp,NoLabel\NoLabel-12_20190905_040458.bmp,,[1 0]
NoLabel-12_20190905_040628.bmp,NoLabel\NoLabel-12_20190905_040628.bmp,,[1 0]
NoLabel-12_20190905_040643.bmp,NoLabel\NoLabel-12_20190905_040643.bmp,,[1 0]
NoLabel-12_20190905_040735.bmp,NoLabel\NoLabel-12_20190905_040735.bmp,,[1 0]
NoLabel-12_20190905_040750.bmp,NoLabel\NoLabel-12_20190905_040750.bmp,,[1 0]
NoLabel-12_20190905_040841.bmp,NoLabel\NoLabel-12_20190905_040841.bmp,,[1 0]
NoLabel-12_20190905_040855.bmp,NoLabel\NoLabel-12_20190905_040855.bmp,,[1 0]
NoLabel-12_20190905_040915.bmp,NoLabel\NoLabel-12_20190905_040915.bmp,,[1 0]
NoLabel-12_20190905_041010.bmp,NoLabel\NoLabel-12_20190905_041010.bmp,,[1 0]
NoLabel-12_20190905_041233.bmp,NoLabel\NoLabel-12_20190905_041233.bmp,,[1 0]
NoLabel-12_20190905_041303.bmp,NoLabel\NoLabel-12_20190905_041303.bmp,,[1 0]
NoLabel-12_20190905_041409.bmp,NoLabel\NoLabel-12_20190905_041409.bmp,,[1 0]
NoLabel-12_20190905_041421.bmp,NoLabel\NoLabel-12_20190905_041421.bmp,,[1 0]
NoLabel-12_20190905_041428.bmp,NoLabel\NoLabel-12_20190905_041428.bmp,,[1 0]
NoLabel-12_20190905_041451.bmp,NoLabel\NoLabel-12_20190905_041451.bmp,,[1 0]
NoLabel-12_20190905_041526.bmp,NoLabel\NoLabel-12_20190905_041526.bmp,,[1 0]
NoLabel-12_20190905_041716.bmp,NoLabel\NoLabel-12_20190905_041716.bmp,,[1 0]
NoLabel-12_20190905_041743.bmp,NoLabel\NoLabel-12_20190905_041743.bmp,,[1 0]
NoLabel-12_20190905_041802.bmp,NoLabel\NoLabel-12_20190905_041802.bmp,,[1 0]
NoLabel-12_20190905_041817.bmp,NoLabel\NoLabel-12_20190905_041817.bmp,,[1 0]
NoLabel-12_20190905_041822.bmp,NoLabel\NoLabel-12_20190905_041822.bmp,,[1 0]
NoLabel-12_20190905_041847.bmp,NoLabel\NoLabel-12_20190905_041847.bmp,,[1 0]
NoLabel-12_20190905_041922.bmp,NoLabel\NoLabel-12_20190905_041922.bmp,,[1 0]
NoLabel-12_20190905_041944.bmp,NoLabel\NoLabel-12_20190905_041944.bmp,,[1 0]
