names,image_paths,notation_paths,classes
NoLabel-12_20190905_035310.bmp,NoLabel\NoLabel-12_20190905_035310.bmp,,[1 0]
NoLabel-12_20190905_035708.bmp,NoLabel\NoLabel-12_20190905_035708.bmp,,[1 0]
NoLabel-12_20190905_035923.bmp,NoLabel\NoLabel-12_20190905_035923.bmp,,[1 0]
NoLabel-12_20190905_040428.bmp,NoLabel\NoLabel-12_20190905_040428.bmp,,[1 0]
NoLabel-12_20190905_040458.bmp,NoLabel\NoLabel-12_20190905_040458.bmp,,[1 0]
NoLabel-12_20190905_040643.bmp,NoLabel\NoLabel-12_20190905_040643.bmp,,[1 0]
NoLabel-12_20190905_040722.bmp,NoLabel\NoLabel-12_20190905_040722.bmp,,[1 0]
NoLabel-12_20190905_040750.bmp,NoLabel\NoLabel-12_20190905_040750.bmp,,[1 0]
NoLabel-12_20190905_040821.bmp,NoLabel\NoLabel-12_20190905_040821.bmp,,[1 0]
NoLabel-12_20190905_040915.bmp,NoLabel\NoLabel-12_20190905_040915.bmp,,[1 0]
NoLabel-12_20190905_040957.bmp,NoLabel\NoLabel-12_20190905_040957.bmp,,[1 0]
NoLabel-12_20190905_041010.bmp,NoLabel\NoLabel-12_20190905_041010.bmp,,[1 0]
NoLabel-12_20190905_041025.bmp,NoLabel\NoLabel-12_20190905_041025.bmp,,[1 0]
NoLabel-12_20190905_041055.bmp,NoLabel\NoLabel-12_20190905_041055.bmp,,[1 0]
NoLabel-12_20190905_041110.bmp,NoLabel\NoLabel-12_20190905_041110.bmp,,[1 0]
NoLabel-12_20190905_041222.bmp,NoLabel\NoLabel-12_20190905_041222.bmp,,[1 0]
NoLabel-12_20190905_041233.bmp,NoLabel\NoLabel-12_20190905_041233.bmp,,[1 0]
NoLabel-12_20190905_041303.bmp,NoLabel\NoLabel-12_20190905_041303.bmp,,[1 0]
NoLabel-12_20190905_041421.bmp,NoLabel\NoLabel-12_20190905_041421.bmp,,[1 0]
NoLabel-12_20190905_041428.bmp,NoLabel\NoLabel-12_20190905_041428.bmp,,[1 0]
NoLabel-12_20190905_041451.bmp,NoLabel\NoLabel-12_20190905_041451.bmp,,[1 0]
NoLabel-12_20190905_041526.bmp,NoLabel\NoLabel-12_20190905_041526.bmp,,[1 0]
NoLabel-12_20190905_041743.bmp,NoLabel\NoLabel-12_20190905_041743.bmp,,[1 0]
NoLabel-12_20190905_041802.bmp,NoLabel\NoLabel-12_20190905_041802.bmp,,[1 0]
NoLabel-12_20190905_041817.bmp,NoLabel\NoLabel-12_20190905_041817.bmp,,[1 0]
NoLabel-12_20190905_041822.bmp,NoLabel\NoLabel-12_20190905_041822.bmp,,[1 0]
NoLabel-12_20190905_041858.bmp,NoLabel\NoLabel-12_20190905_041858.bmp,,[1 0]
NoLabel-12_20190905_041910.bmp,NoLabel\NoLabel-12_20190905_041910.bmp,,[1 0]
NoLabel-12_20190905_041930.bmp,NoLabel\NoLabel-12_20190905_041930.bmp,,[1 0]
NoLabel-12_20190905_041944.bmp,NoLabel\NoLabel-12_20190905_041944.bmp,,[1 0]
NoLabel-12_20190905_042108.bmp,NoLabel\NoLabel-12_20190905_042108.bmp,,[1 0]
NoLabel-12_20190905_042121.bmp,NoLabel\NoLabel-12_20190905_042121.bmp,,[1 0]
NoLabel-12_20190905_042132.bmp,NoLabel\NoLabel-12_20190905_042132.bmp,,[1 0]
NoLabel-12_20190905_042200.bmp,NoLabel\NoLabel-12_20190905_042200.bmp,,[1 0]
NoLabel-12_20190905_042207.bmp,NoLabel\NoLabel-12_20190905_042207.bmp,,[1 0]
NoLabel-12_20190905_042252.bmp,NoLabel\NoLabel-12_20190905_042252.bmp,,[1 0]
NoLabel-12_20190905_042330.bmp,NoLabel\NoLabel-12_20190905_042330.bmp,,[1 0]
NoLabel-12_20190905_042339.bmp,NoLabel\NoLabel-12_20190905_042339.bmp,,[1 0]
NoLabel-12_20190905_042358.bmp,NoLabel\NoLabel-12_20190905_042358.bmp,,[1 0]
NoLabel-12_20190905_042439.bmp,NoLabel\NoLabel-12_20190905_042439.bmp,,[1 0]
NoLabel-12_20190906_015230.bmp,NoLabel\NoLabel-12_20190906_015230.bmp,,[1 0]
NoLabel-12_20190906_015238.bmp,NoLabel\NoLabel-12_20190906_015238.bmp,,[1 0]
NoLabel-12_20190906_015251.bmp,NoLabel\NoLabel-12_20190906_015251.bmp,,[1 0]
NoLabel-12_20190906_015314.bmp,NoLabel\NoLabel-12_20190906_015314.bmp,,[1 0]
NoLabel-12_20190906_015322.bmp,NoLabel\NoLabel-12_20190906_015322.bmp,,[1 0]
NoLabel-12_20190906_015329.bmp,NoLabel\NoLabel-12_20190906_015329.bmp,,[1 0]
NoLabel-12_20190906_015339.bmp,NoLabel\NoLabel-12_20190906_015339.bmp,,[1 0]
NoLabel-12_20190906_015400.bmp,NoLabel\NoLabel-12_20190906_015400.bmp,,[1 0]
NoLabel-12_20190906_015413.bmp,NoLabel\NoLabel-12_20190906_015413.bmp,,[1 0]
NoLabel-12_20190906_015515.bmp,NoLabel\NoLabel-12_20190906_015515.bmp,,[1 0]
NoLabel-12_20190906_015635.bmp,NoLabel\NoLabel-12_20190906_015635.bmp,,[1 0]
NoLabel-12_20190906_015656.bmp,NoLabel\NoLabel-12_20190906_015656.bmp,,[1 0]
NoLabel-12_20190906_015708.bmp,NoLabel\NoLabel-12_20190906_015708.bmp,,[1 0]
NoLabel-12_20190906_015712.bmp,NoLabel\NoLabel-12_20190906_015712.bmp,,[1 0]
NoLabel-12_20190906_015746.bmp,NoLabel\NoLabel-12_20190906_015746.bmp,,[1 0]
NoLabel-12_20190906_015857.bmp,NoLabel\NoLabel-12_20190906_015857.bmp,,[1 0]
NoLabel-12_20190906_015920.bmp,NoLabel\NoLabel-12_20190906_015920.bmp,,[1 0]
NoLabel-12_20190906_015924.bmp,NoLabel\NoLabel-12_20190906_015924.bmp,,[1 0]
NoLabel-12_20190906_015943.bmp,NoLabel\NoLabel-12_20190906_015943.bmp,,[1 0]
NoLabel-12_20190906_015959.bmp,NoLabel\NoLabel-12_20190906_015959.bmp,,[1 0]
NoLabel-12_20190906_020005.bmp,NoLabel\NoLabel-12_20190906_020005.bmp,,[1 0]
NoLabel-12_20190906_020009.bmp,NoLabel\NoLabel-12_20190906_020009.bmp,,[1 0]
NoLabel-12_20190906_020029.bmp,NoLabel\NoLabel-12_20190906_020029.bmp,,[1 0]
NoLabel-12_20190906_020050.bmp,NoLabel\NoLabel-12_20190906_020050.bmp,,[1 0]
NoLabel-12_20190906_020054.bmp,NoLabel\NoLabel-12_20190906_020054.bmp,,[1 0]
NoLabel-12_20190906_020105.bmp,NoLabel\NoLabel-12_20190906_020105.bmp,,[1 0]
NoLabel-12_20190906_020112.bmp,NoLabel\NoLabel-12_20190906_020112.bmp,,[1 0]
NoLabel-12_20190906_020122.bmp,NoLabel\NoLabel-12_20190906_020122.bmp,,[1 0]
NoLabel-12_20190906_020129.bmp,NoLabel\NoLabel-12_20190906_020129.bmp,,[1 0]
NoLabel-12_20190906_020137.bmp,NoLabel\NoLabel-12_20190906_020137.bmp,,[1 0]
NoLabel-20_20191216_044900.bmp,NoLabel\NoLabel-20_20191216_044900.bmp,,[1 0]
NoLabel-20_20191216_045011.bmp,NoLabel\NoLabel-20_20191216_045011.bmp,,[1 0]
NoLabel-20_20191216_045017.bmp,NoLabel\NoLabel-20_20191216_045017.bmp,,[1 0]
NoLabel-20_20191216_045027.bmp,NoLabel\NoLabel-20_20191216_045027.bmp,,[1 0]
NoLabel-20_20191216_045330.bmp,NoLabel\NoLabel-20_20191216_045330.bmp,,[1 0]
NoLabel-20_20191216_045338.bmp,NoLabel\NoLabel-20_20191216_045338.bmp,,[1 0]
NoLabel-20_20191216_045401.bmp,NoLabel\NoLabel-20_20191216_045401.bmp,,[1 0]
NoLabel-20_20191216_045533.bmp,NoLabel\NoLabel-20_20191216_045533.bmp,,[1 0]
NoLabel-20_20191216_045548.bmp,NoLabel\NoLabel-20_20191216_045548.bmp,,[1 0]
NoLabel-20_20191216_045809.bmp,NoLabel\NoLabel-20_20191216_045809.bmp,,[1 0]
NoLabel-20_20191216_045813.bmp,NoLabel\NoLabel-20_20191216_045813.bmp,,[1 0]
NoLabel-20_20191216_045821.bmp,NoLabel\NoLabel-20_20191216_045821.bmp,,[1 0]
NoLabel-20_20191216_045938.bmp,NoLabel\NoLabel-20_20191216_045938.bmp,,[1 0]
NoLabel-20_20191216_050128.bmp,NoLabel\NoLabel-20_20191216_050128.bmp,,[1 0]
NoLabel-20_20191216_050232.bmp,NoLabel\NoLabel-20_20191216_050232.bmp,,[1 0]
NoLabel-20_20191216_050258.bmp,NoLabel\NoLabel-20_20191216_050258.bmp,,[1 0]
NoLabel-20_20191216_050312.bmp,NoLabel\NoLabel-20_20191216_050312.bmp,,[1 0]
NoLabel-20_20191216_050322.bmp,NoLabel\NoLabel-20_20191216_050322.bmp,,[1 0]
NoLabel-20_20191216_050335.bmp,NoLabel\NoLabel-20_20191216_050335.bmp,,[1 0]
NoLabel-20_20191216_050440.bmp,NoLabel\NoLabel-20_20191216_050440.bmp,,[1 0]
NoLabel-20_20191216_050534.bmp,NoLabel\NoLabel-20_20191216_050534.bmp,,[1 0]
NoLabel-20_20191216_050628.bmp,NoLabel\NoLabel-20_20191216_050628.bmp,,[1 0]
NoLabel-20_20191216_050634.bmp,NoLabel\NoLabel-20_20191216_050634.bmp,,[1 0]
NoLabel-20_20191216_050659.bmp,NoLabel\NoLabel-20_20191216_050659.bmp,,[1 0]
NoLabel-20_20191216_050703.bmp,NoLabel\NoLabel-20_20191216_050703.bmp,,[1 0]
NoLabel-20_20191216_050725.bmp,NoLabel\NoLabel-20_20191216_050725.bmp,,[1 0]
NoLabel-20_20191216_051025.bmp,NoLabel\NoLabel-20_20191216_051025.bmp,,[1 0]
NoLabel-20_20191216_051041.bmp,NoLabel\NoLabel-20_20191216_051041.bmp,,[1 0]
NoLabel-20_20191216_051052.bmp,NoLabel\NoLabel-20_20191216_051052.bmp,,[1 0]
NoLabel-20_20191216_051114.bmp,NoLabel\NoLabel-20_20191216_051114.bmp,,[1 0]
NoLabel-20_20191216_051139.bmp,NoLabel\NoLabel-20_20191216_051139.bmp,,[1 0]
NoLabel-20_20191216_051144.bmp,NoLabel\NoLabel-20_20191216_051144.bmp,,[1 0]
NoLabel-20_20191216_051402.bmp,NoLabel\NoLabel-20_20191216_051402.bmp,,[1 0]
NoLabel-20_20191216_051412.bmp,NoLabel\NoLabel-20_20191216_051412.bmp,,[1 0]
NoLabel-20_20191216_051508.bmp,NoLabel\NoLabel-20_20191216_051508.bmp,,[1 0]
NoLabel-20_20191216_051624.bmp,NoLabel\NoLabel-20_20191216_051624.bmp,,[1 0]
NoLabel-20_20191216_051923.bmp,NoLabel\NoLabel-20_20191216_051923.bmp,,[1 0]
NoLabel-20_20191216_051930.bmp,NoLabel\NoLabel-20_20191216_051930.bmp,,[1 0]
NoLabel-20_20191216_051941.bmp,NoLabel\NoLabel-20_20191216_051941.bmp,,[1 0]
NoLabel-20_20191216_051953.bmp,NoLabel\NoLabel-20_20191216_051953.bmp,,[1 0]
NoLabel-20_20191216_052006.bmp,NoLabel\NoLabel-20_20191216_052006.bmp,,[1 0]
NoLabel-20_20191216_052017.bmp,NoLabel\NoLabel-20_20191216_052017.bmp,,[1 0]
NoLabel-20_20191216_052036.bmp,NoLabel\NoLabel-20_20191216_052036.bmp,,[1 0]
NoLabel-20_20191216_052108.bmp,NoLabel\NoLabel-20_20191216_052108.bmp,,[1 0]
NoLabel-20_20191216_052145.bmp,NoLabel\NoLabel-20_20191216_052145.bmp,,[1 0]
NoLabel-20_20191216_052158.bmp,NoLabel\NoLabel-20_20191216_052158.bmp,,[1 0]
NoLabel-20_20191216_052219.bmp,NoLabel\NoLabel-20_20191216_052219.bmp,,[1 0]
NoLabel-20_20191216_052229.bmp,NoLabel\NoLabel-20_20191216_052229.bmp,,[1 0]
NoLabel-20_20191216_052253.bmp,NoLabel\NoLabel-20_20191216_052253.bmp,,[1 0]
NoLabel-20_20191216_052258.bmp,NoLabel\NoLabel-20_20191216_052258.bmp,,[1 0]
NoLabel-20_20191216_052420.bmp,NoLabel\NoLabel-20_20191216_052420.bmp,,[1 0]
NoLabel-20_20191216_052530.bmp,NoLabel\NoLabel-20_20191216_052530.bmp,,[1 0]
NoLabel-20_20191216_052606.bmp,NoLabel\NoLabel-20_20191216_052606.bmp,,[1 0]
NoLabel-20_20191216_052617.bmp,NoLabel\NoLabel-20_20191216_052617.bmp,,[1 0]
NoLabel-20_20191216_052705.bmp,NoLabel\NoLabel-20_20191216_052705.bmp,,[1 0]
NoLabel-20_20191216_052732.bmp,NoLabel\NoLabel-20_20191216_052732.bmp,,[1 0]
NoLabel-20_20191216_052738.bmp,NoLabel\NoLabel-20_20191216_052738.bmp,,[1 0]
NoLabel-20_20191216_052844.bmp,NoLabel\NoLabel-20_20191216_052844.bmp,,[1 0]
NoLabel-20_20191216_052853.bmp,NoLabel\NoLabel-20_20191216_052853.bmp,,[1 0]
